,CWSID,Not Expected,Expected,RegulatingAgency,WaterSystemName,Water Year,HUC8,ServiceConnections,Population,DSCI Dry Season Average,DSCI Wet Season Average,DSCI Dry Wet Delta,Total Number of Water Sources,Score_SCV,Score_SCM,Score_CriticallyOverdraftedGroundwaterBasin,Intertie,Wholesalers,Curtailment,HUC_Categories,Outcome,PWPhysicalAddressLat,PWPhysicalAddressLong
0,CA3301512,0.004256370153152498,0.9957436298468477,LPA63 - RIVERSIDE COUNTY,PINYON PINES COUNTY WATER DIST,2022,18100201,82.0,160,322.4372727272726,252.52333333333328,69.91393939393933,1.0,0.0,1.0,0,0.0,0.0,0,3,1,33.5972005,-116.4497353
1,CA0901217,0.013565877251844655,0.9864341227481555,LPA39 - EL DORADO COUNTY,BEAR STATE WATER WORKS,2022,18020128,48.0,100,423.2845454545453,345.90233333333333,77.38221212121198,3.0,1.0,0.0,0,0.0,0.0,1,2,1,38.9889921,-120.7618346
2,CA3600226,0.02026289200648294,0.9797371079935171,LPA66 - SAN BERNARDINO COUNTY,CSA 70-F MORONGO,2022,18100201,83.0,450,322.4372727272726,252.52333333333328,69.91393939393933,3.0,0.0,0.0,1,0.0,0.0,0,3,1,34.0947247,-116.5216543
3,CA0910013,0.02138693087723209,0.9786130691227679,DISTRICT 09 - SACRAMENTO,GEORGETOWN DIVIDE PUD,2022,18020128,3791.0,9112,423.2845454545453,345.90233333333333,77.38221212121198,2.0,0.0,0.0,0,0.0,0.0,1,2,1,38.9123728,-120.8337319
4,CA0910018,0.022217975430203384,0.9777820245697969,DISTRICT 09 - SACRAMENTO,EL DORADO ID - OUTINGDALE,2022,18020129,191.0,538,426.31590909090903,353.079,73.23690909090902,1.0,1.0,0.0,0,0.0,0.0,1,2,1,38.7356149,-120.7872403
5,CA4600018,0.02420461788505002,0.9757953821149501,DISTRICT 02 - LASSEN,SIERRAVILLE P.U.D.,2022,18020123,113.0,200,416.27045454545447,314.92300000000006,101.34745454545441,1.0,0.0,0.0,0,0.0,0.0,1,2,1,39.584577,-120.3692674
6,CA3301529,0.02544583397419899,0.9745541660258011,LPA63 - RIVERSIDE COUNTY,RAMONA WATER COMPANY,2022,18070302,95.0,250,284.90863636363633,232.51466666666664,52.39396969696969,4.0,1.0,1.0,0,0.0,0.0,0,1,1,33.5552692,-116.6741822
7,CA4200851,0.027062599948367357,0.9729374000516327,LPA72 - SANTA BARBARA COUNTY,ROLLING HILLS MUTUAL WATER COMPANY,2022,18060008,21.0,66,377.27272727272725,313.0226666666667,64.25006060606057,1.0,1.0,0.0,0,0.0,0.0,0,1,1,34.9530337,-120.4357191
8,CA3200102,0.02772095747879104,0.972279042521209,DISTRICT 02 - LASSEN,WHITEHAWK RANCH MWC,2022,18020123,197.0,765,416.27045454545447,314.92300000000006,101.34745454545441,1.0,0.0,0.0,0,0.0,0.0,1,2,1,39.7158898,-120.5465513
9,CA3210005,0.029135085887458587,0.9708649141125416,DISTRICT 02 - LASSEN,GRAEAGLE WATER COMPANY,2022,18020123,937.0,737,416.27045454545447,314.92300000000006,101.34745454545441,1.0,0.0,0.0,0,0.0,0.0,1,2,1,39.7672412,-120.6195995
10,CA5510011,0.035368438463849,0.964631561536151,DISTRICT 11 - MERCED,COLD SPRINGS WATER CO,2022,18040010,537.0,153,433.1731818181817,370.59566666666666,62.57751515151506,2.0,0.0,0.0,0,0.0,0.0,1,2,1,38.161773,-120.0568222
11,CA3301491,0.035396536801178526,0.9646034631988215,LPA63 - RIVERSIDE COUNTY,ALPINE VILLAGE,2022,18100201,60.0,198,322.4372727272726,252.52333333333328,69.91393939393933,5.0,1.0,1.0,0,0.0,0.0,0,3,1,33.589516,-116.4526737
12,CA0900308,0.03970503316966942,0.9602949668303306,LPA39 - EL DORADO COUNTY,QUINTETTE SERVICE CORP WATER,2022,18020129,52.0,79,426.31590909090903,353.079,73.23690909090902,1.0,0.0,0.0,0,0.0,0.0,1,2,1,38.9068445,-120.8385462
13,CA0900300,0.047915467424784516,0.9520845325752155,LPA39 - EL DORADO COUNTY,KYBURZ MUTUAL WATER COMPANY,2022,18020129,118.0,150,426.31590909090903,353.079,73.23690909090902,2.0,0.0,1.0,0,0.0,0.0,1,2,1,38.7746298,-120.2968596
14,CA4600017,0.05125685086163859,0.9487431491383614,DISTRICT 02 - LASSEN,R.R. LEWIS SMALL WC,2022,18020125,120.0,324,430.5718181818183,348.0703333333333,82.501484848485,2.0,0.0,0.0,0,0.0,0.0,1,2,1,39.574504,-120.615826
15,CA2910016,0.051290049496043835,0.9487099505039562,DISTRICT 09 - SACRAMENTO,DONNER SUMMIT PUBLIC UTILITY DISTRICT,2022,18020125,358.0,310,430.5718181818183,348.0703333333333,82.501484848485,1.0,0.0,0.0,0,0.0,0.0,1,2,1,39.3266035,-120.3924341
16,CA2910002,0.055008388685562355,0.9449916113144375,DISTRICT 09 - SACRAMENTO,CITY OF NEVADA CITY,2022,18020125,1252.0,3148,430.5718181818183,348.0703333333333,82.501484848485,1.0,0.0,0.0,0,0.0,0.0,1,2,1,39.2472009,-121.002271
