PWSID,"Number of Water Sources
","Absence of Interties
","Source Capacity Violations
","Bottled Water or Hauled Water Reliance
",DWR – Drought & Water Shortage Risk Assessment Results,Critically Overdrafted Groundwater Basin,Drought Experienced (Bottled Hauled Water Reliance)
CA0105009,0,Y,N,Y,27.48,N,
CA0400012,1,Y,N,Y,37.66,N,
CA0400014,3,Y,N,Y,28.74,N,
CA0400063,1,Y,N,Y,34.25,N,
CA0400065,1,Y,N,Y,Not Assessed,N,
CA0600008,2,Y,N,Y,26.45,N,
CA0910018,1,Y,Y,Y,34.39,N,
CA1000019,1,Y,N,Y,35.95,N,
CA1000180,1,Y,N,Y,37.2,Y,
CA1000187,1,Y,N,Y,32.91,Y,
CA1000299,1,Y,N,Y,40.32,Y,
CA1000359,1,Y,N,Y,35.37,N,
CA1200546,1,Y,N,Y,34.7,N,
CA1300554,1,Y,N,Y,27.25,N,
CA1500371,0,Y,N,Y,Not Assessed,N,
CA1500393,2,Y,N,Y,30.84,N,Drought Experienced
CA1500442,1,Y,N,Y,Not Assessed,N,Drought Experienced
CA1500455,1,Y,N,Y,41.39,N,Drought Experienced
CA1500458,1,Y,N,Y,Not Assessed,N,Drought Experienced
CA1500461,1,Y,N,Y,34.4,N,Drought Experienced
CA1500566,0,Y,Y,Y,Not Assessed,N,
CA1502154,1,Y,N,Y,32.93,Y,
CA1502229,1,Y,N,Y,Not Assessed,Y,
CA1502231,3,N,N,Y,Not Assessed,N,
CA1502607,2,Y,N,Y,Not Assessed,N,
CA1503140,1,Y,N,Y,39.69,N,
CA1503683,0,Y,N,Y,Not Assessed,Y,
CA1510021,6,Y,N,Y,Not Assessed,Y,
CA1510052,2,Y,N,Y,36.28,N,Drought Experienced
CA1610009,2,Y,N,Y,29.76,Y,
CA1710012,13,N/A,N,Y,25.82,N,
CA1900062,0,Y,Y,Y,38.59,N,
CA1900100,2,Y,N,Y,33.23,N,
CA1900520,1,Y,N,Y,37.31,N,
CA1900903,3,Y,Y,Y,33.56,N,
CA1900942,1,Y,Y,Y,40.77,N,
CA2000561,1,Y,N,Y,44.68,N,
CA2000567,2,N,N,Y,26.44,N,
CA2000592,1,Y,N,Y,42.59,N,
CA2000611,2,Y,N,Y,Not Assessed,N,
