ServiceConnections,Population,Score_SourceNumber,Score_SourceCapacityViolations,Score_SCM,Score_CriticallyOverdraftedGroundwaterBasin,CDAG_rank,Curtailment,Score_1702,Score_1705,Score_1706,Score_1812,Score_1813,Score_1814,Score_1815,EAR2020DroughtRiskScore,SAFER_AccessibilityScore,Lat,Long,County,DSCI2WYAvg,ActiveGWSource,ActiveSWSource,CurtailedWatershed,HUC4,HUC8,Basin_Number_part1,FracturedRock,Basin12,Basin34,Basin5,Basin6,Basin789,Intertie,TNCFlow2WYAvg,DroughtExperienced
19,50,0,No,No,No,921,No,0,0,0,0,2,1,0,3,0.333333333,37.7370767,-122.0277303,ALAMEDA,256.6857143,3,0,NotInCurtailedWatershed,18-05,18-050004,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,21.21512239,0
191,459,0,No,No,No,2338,No,0,0,0,0,0,0,0,0,0,37.7153422,-122.1473893,ALAMEDA,256.6857143,1,0,NotInCurtailedWatershed,18-05,18-050004,2,0-000,2-009,0-000,0-000,0-000,0-000,Yes,21.21512239,0
206,524,0,No,No,No,2105,No,0,0,0,0,1,1,1,3,1,37.6315095,-121.8939705,ALAMEDA,256.6857143,0,0,NotInCurtailedWatershed,18-05,18-050004,2,0-000,2-011,0-000,0-000,0-000,0-000,Yes,21.21512239,0
86788,351000,0,No,No,No,-1,No,0,0,0,1,1,1,1,4,-1,37.505646,-121.9609087,ALAMEDA,256.6857143,24,2,NotInCurtailedWatershed,18-05,18-050004,FR-2,FR-999,2-009,0-000,0-000,0-000,0-000,Yes,21.21512239,0
18491,59000,0,No,No,No,-1,No,0,0,0,1,1,0,1,3,0,37.6795223,-121.7736601,ALAMEDA,256.6857143,10,0,NotInCurtailedWatershed,18-05,18-050004,2,0-000,2-010,0-000,0-000,0-000,0-000,Yes,21.21512239,0
390779,1405000,0,No,No,No,-1,Yes,0,2,0,0,0,2,1,5,-1,37.8013164,-122.2708386,ALAMEDA,256.6857143,0,10,PartialSacSJ,18-05,18-050004,FR-5,FR-999,0-000,0-000,5-021,0-000,0-000,Yes,21.21512239,0
34756,151600,0,No,No,No,-1,No,0,0,0,0,0,0,0,0,-1,37.6709785,-122.0856974,ALAMEDA,256.6857143,5,0,NotInCurtailedWatershed,18-05,18-050004,2,0-000,2-009,0-000,0-000,0-000,0-000,Yes,21.21512239,0
22387,79201,0,No,No,No,-1,No,0,0,0,2,2,2,2,8,0,37.6764045,-121.859063,ALAMEDA,256.6857143,3,0,NotInCurtailedWatershed,18-05,18-050004,2,0-000,2-010,0-000,0-000,0-000,0-000,Yes,21.21512239,0
24550,86895,0.5,No,No,No,-1,No,0,0,0,1,1,1,2,5,0,37.7064525,-121.9207774,ALAMEDA,256.6857143,0,0,NotInCurtailedWatershed,18-05,18-050004,2,0-000,2-010,0-000,0-000,0-000,0-000,Yes,21.21512239,0
13,40,0,No,No,No,-1,No,0,0,0,1,1,2,2,6,-1,37.7054288,-121.8072818,ALAMEDA,256.6857143,10,3,NotInCurtailedWatershed,18-05,18-050004,FR-2,FR-999,2-010,0-000,0-000,0-000,0-000,No,21.21512239,0
10034,30000,0,No,No,No,-1,No,0,0,0,2,0,1,0,3,0,37.6911361,-121.8071483,ALAMEDA,256.6857143,0,0,NotInCurtailedWatershed,18-05,18-050004,2,0-000,2-010,0-000,0-000,0-000,0-000,Yes,21.21512239,0
126,352,0,No,No,No,-1,No,0,0,0,1,0,1,0,2,1,37.5867626,-121.8334868,ALAMEDA,256.6857143,0,0,NotInCurtailedWatershed,18-05,18-050004,2,0-000,2-011,0-000,0-000,0-000,0-000,Yes,21.21512239,0
412,1500,0,No,No,No,1519,No,0,0,0,0,0,0,0,0,1,37.7865822,-122.302143,ALAMEDA,256.6857143,0,0,NotInCurtailedWatershed,18-05,18-050004,2,0-000,2-009,0-000,0-000,0-000,0-000,Yes,21.21512239,0
1,1,0,No,No,No,-1,No,0,0,0,0,0,0,0,0,-1,37.6436199,-121.8676464,ALAMEDA,256.6857143,2,0,NotInCurtailedWatershed,18-05,18-050004,2,0-000,2-010,0-000,0-000,0-000,0-000,No,21.21512239,0
16,50,0.5,No,No,Yes,1495,No,0,0,0,0,1,1,0,2,1,38.6937227,-119.7796826,ALPINE,221.7904762,2,0,PartialSJ,16-05,16-050201,5A6,0-000,0-000,0-000,5-022,6-006,0-000,No,178.3859792,0
167,25,0,No,No,No,309,No,0,0,0,1,1,2,0,4,0.5,38.6937227,-119.7796826,ALPINE,221.7904762,2,1,NotInCurtailedWatershed,16-05,16-050201,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,178.3859792,0
32,70,1,No,No,No,571,No,0,0,0,0,0,0,0,0,1.5,38.7576691,-119.8164658,ALPINE,221.7904762,1,0,NotInCurtailedWatershed,16-05,16-050201,6,0-000,0-000,0-000,0-000,6-006,0-000,No,178.3859792,0
488,625,1,No,No,No,1150,Yes,0,0,0,2,0,2,0,4,1.333333333,38.4719825,-120.0441826,ALPINE,221.7904762,0,1,SanJoaquinRiver,18-04,18-040010,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,514.9422703,0
863,7851,0,No,No,No,1761,No,0,0,0,1,1,0,0,2,0.333333333,38.6899678,-120.0713531,ALPINE,221.7904762,4,0,SacramentoRiver,18-02,18-020129,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,480.7788518,0
66,214,0,No,No,No,1986,No,0,0,0,0,0,0,0,0,1,38.4410213,-120.8543816,AMADOR,221.5047619,0,0,SanJoaquinRiver,18-04,18-040012,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,6935.890773,0
20,40,1,No,No,No,830,No,0,0,0,0,0,0,0,0,1.333333333,38.3488023,-120.7741018,AMADOR,221.5047619,0,1,SanJoaquinRiver,18-04,18-040012,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,6935.890773,0
80,160,0,No,No,No,1222,No,0,0,0,0,0,0,0,0,0.333333333,38.4422853,-120.6313283,AMADOR,221.5047619,2,1,SanJoaquinRiver,18-04,18-040012,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,6935.890773,0
66,100,1,No,No,No,818,No,0,0,0,0,0,0,0,0,1.333333333,38.5039105,-120.7565689,AMADOR,221.5047619,1,0,SanJoaquinRiver,18-04,18-040012,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,6935.890773,0
22,62,1,No,No,No,283,No,0,0,0,0,0,0,0,0,1.5,38.4096384,-120.6314948,AMADOR,221.5047619,1,0,SanJoaquinRiver,18-04,18-040012,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,6935.890773,0
331,3553,0.5,No,No,No,1276,Yes,0,0,0,0,0,0,0,0,0.333333333,38.3051021,-120.8941404,AMADOR,221.5047619,0,2,SanJoaquinRiver,18-04,18-040012,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,6935.890773,1
24,44,1,No,No,No,315,No,0,0,0,0,0,1,0,1,1.5,38.4815545,-120.8591019,AMADOR,221.5047619,1,0,SanJoaquinRiver,18-04,18-040013,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,411.5669724,0
21,299,1,No,No,No,537,No,0,0,0,0,1,0,0,1,1.5,38.4818531,-120.844659,AMADOR,221.5047619,1,0,SanJoaquinRiver,18-04,18-040013,5,0-000,0-000,0-000,5-022,0-000,0-000,No,411.5669724,0
10,40,1,No,No,No,151,No,0,0,0,2,0,1,0,3,2,38.308096,-120.9697699,AMADOR,221.5047619,1,0,SanJoaquinRiver,18-04,18-040012,5,0-000,0-000,0-000,5-022,0-000,0-000,No,6935.890773,0
2185,4686,0,No,No,No,1773,No,0,0,0,0,0,1,0,1,1,38.347489,-120.7730223,AMADOR,221.5047619,0,0,SanJoaquinRiver,18-04,18-040012,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,6935.890773,0
2106,6170,1,No,No,No,-1,No,0,0,0,0,0,2,0,2,1.333333333,38.3828639,-120.7877453,AMADOR,221.5047619,0,1,SanJoaquinRiver,18-04,18-040012,5,0-000,0-000,0-000,5-022,0-000,0-000,No,6935.890773,0
1742,4943,0,No,No,No,-1,No,0,0,0,2,0,2,0,4,-1,38.3828639,-120.7877453,AMADOR,221.5047619,0,1,SanJoaquinRiver,18-04,18-040012,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,6935.890773,0
520,1060,0,No,No,No,2322,No,0,0,0,1,0,1,0,2,0,38.480957,-120.847427,AMADOR,221.5047619,2,0,SanJoaquinRiver,18-04,18-040013,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,411.5669724,0
388,907,0,No,No,No,1805,No,0,2,2,1,1,1,0,7,1,38.4130582,-120.6588606,AMADOR,221.5047619,0,0,SanJoaquinRiver,18-04,18-040012,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,6935.890773,0
215,510,0,No,No,No,1757,No,0,0,0,0,2,2,0,4,0.333333333,38.5447073,-120.7410793,AMADOR,221.5047619,3,0,SanJoaquinRiver,18-04,18-040013,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,411.5669724,0
211,1184,0,No,No,No,1445,No,0,0,0,0,1,1,0,2,0.333333333,38.1915856,-120.8291033,AMADOR,221.5047619,3,0,SanJoaquinRiver,18-04,18-040011,5,0-000,0-000,0-000,5-022,0-000,0-000,No,134.5499783,0
337,838,0,No,No,No,1636,No,0,0,0,0,0,0,0,0,1,38.4585468,-120.5415177,AMADOR,221.5047619,0,0,SanJoaquinRiver,18-04,18-040012,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,6935.890773,0
2743,8809,0,No,No,No,-1,Yes,0,0,0,2,0,2,0,4,-1,38.3828639,-120.7877453,AMADOR,221.5047619,0,1,SanJoaquinRiver,18-04,18-040012,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,6935.890773,0
82,200,0,No,No,No,1713,No,0,0,0,1,0,0,0,1,1,38.4475654,-120.5379166,AMADOR,221.5047619,0,0,SanJoaquinRiver,18-04,18-040012,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,6935.890773,0
55,188,0.5,No,No,No,-1,No,0,0,0,0,1,0,0,1,0.333333333,38.3828639,-120.7877453,AMADOR,221.5047619,2,0,SanJoaquinRiver,18-04,18-040012,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,6935.890773,0
732,2384,0,No,No,No,2130,No,0,0,0,0,1,0,0,1,0.333333333,38.2511151,-120.9429248,AMADOR,221.5047619,4,0,SanJoaquinRiver,18-04,18-040012,5,0-000,0-000,0-000,5-022,0-000,0-000,No,6935.890773,0
52,150,0.5,No,No,No,346,No,0,0,0,0,0,0,0,0,0.5,39.8393047,-121.7780664,BUTTE,288.2095238,2,0,SacramentoRiver,18-02,18-020157,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,2971.193432,0
15,31,1,No,No,No,799,No,0,0,0,0,0,0,0,0,1.333333333,39.873843,-121.6810778,BUTTE,288.2095238,1,0,SacramentoRiver,18-02,18-020158,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,3277.008138,0
42,92,1,No,No,No,148,No,0,0,0,0,0,0,0,0,2,39.873843,-121.6810778,BUTTE,288.2095238,1,0,SacramentoRiver,18-02,18-020158,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,3277.008138,0
168,399,0,No,No,No,1671,No,0,0,0,0,1,1,0,2,0.333333333,39.81,-121.94,BUTTE,288.2095238,3,0,SacSJ,18-02,18-020157,5,0-000,0-000,0-000,5-0225-021,0-000,0-000,No,2971.193432,0
105,200,0.5,No,No,No,1452,No,0,0,0,0,1,1,0,2,0.333333333,39.703129,-121.8334868,BUTTE,288.2095238,2,0,SacramentoRiver,18-02,18-020158,5,0-000,0-000,0-000,5-021,0-000,0-000,No,3277.008138,0
135,460,1,No,No,No,618,No,0,0,0,0,0,0,0,0,2.333333333,39.3642229,-121.6482963,BUTTE,288.2095238,1,0,SacramentoRiver,18-02,18-020159,5,0-000,0-000,0-000,5-021,0-000,0-000,No,6305.952183,1
97,100,0,No,No,No,850,No,0,0,0,0,1,1,0,2,0.333333333,39.5326673,-121.1574587,BUTTE,288.2095238,4,0,SacramentoRiver,18-02,18-020123,FR-5,FR-999,0-000,0-000,5-021,0-000,0-000,No,1860.44857,0
123,297,0,No,No,No,356,No,0,0,0,0,1,0,0,1,0.5,39.6451637,-121.4032995,BUTTE,288.2095238,3,0,SacramentoRiver,18-02,18-020121,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,1135.518673,0
8,77,0,No,No,No,1421,No,0,0,0,0,0,0,0,0,0.333333333,39.6451637,-121.4032995,BUTTE,288.2095238,4,0,SacramentoRiver,18-02,18-020121,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,1135.518673,0
35,74,1,No,No,No,422,No,0,0,0,0,1,0,0,1,1.5,39.4710462,-121.5779716,BUTTE,288.2095238,1,0,SacramentoRiver,18-02,18-020159,5,0-000,0-000,0-000,5-021,0-000,0-000,No,6305.952183,0
88,327,0.5,No,No,No,1527,No,0,0,0,0,0,1,0,1,0.333333333,39.4422495,-121.5519189,BUTTE,288.2095238,2,0,SacramentoRiver,18-02,18-020159,5,0-000,0-000,0-000,5-021,0-000,0-000,No,6305.952183,0
22,20,1,No,No,No,522,No,0,0,0,0,0,0,0,0,1.5,39.5137752,-121.556359,BUTTE,288.2095238,1,0,SacramentoRiver,18-02,18-020159,5,0-000,0-000,0-000,5-021,0-000,0-000,No,6305.952183,0
25,34,1,No,No,No,760,No,0,0,0,0,0,0,0,0,1.333333333,39.4254208,-121.6071163,BUTTE,288.2095238,1,0,SacramentoRiver,18-02,18-020159,5,0-000,0-000,0-000,5-021,0-000,0-000,No,6305.952183,0
26,50,1,No,No,No,214,No,0,0,0,0,0,0,0,0,2,39.6419785,-121.5921277,BUTTE,288.2095238,1,0,SacramentoRiver,18-02,18-020158,5,0-000,0-000,0-000,5-021,0-000,0-000,No,3277.008138,0
127,180,1,No,No,No,793,No,0,0,0,0,0,0,0,0,1.333333333,39.6585054,-121.6303437,BUTTE,288.2095238,1,0,SacramentoRiver,18-02,18-020158,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,3277.008138,0
101,275,0.5,No,No,No,1467,No,0,0,0,0,0,0,0,0,0.333333333,39.4990094,-121.5665162,BUTTE,288.2095238,2,0,SacramentoRiver,18-02,18-020159,5,0-000,0-000,0-000,5-021,0-000,0-000,No,6305.952183,0
129,230,1,No,No,No,1049,No,0,0,0,0,1,0,0,1,1.333333333,39.7699043,-121.8703369,BUTTE,288.2095238,0,0,SacramentoRiver,18-02,18-020157,5,0-000,0-000,0-000,5-021,0-000,0-000,No,2971.193432,0
