PWSID,Groundwater,Surface Water,Interties
CA0103040,3,0,0
CA0103041,1,1,1
CA0105002,1,0,0
CA0105008,1,0,1
CA0105009,0,1,0
CA0105010,0,1,0
CA0105012,2,0,0
CA0105013,1,0,0
CA0105016,1,0,0
CA0105017,1,0,0
CA0310018,0,1,1
CA0105018,1,0,0
CA0105019,1,0,0
CA0105020,2,0,0
CA0110001,24,15,13
CA0110003,10,2,2
CA0110005,0,10,1
CA0110006,5,2,2
CA0110008,3,1,1
CA0110009,0,2,2
CA0110010,10,3,0
CA0110011,0,3,3
CA0110012,0,1,1
CA0110016,0,1,1
CA0110018,2,0,0
CA0110650,0,1,0
CA0110701,0,2,2
CA0202501,1,0,0
CA0202502,1,0,0
CA0310005,0,1,1
CA0202503,1,0,0
CA0202504,2,1,0
CA0202505,1,0,0
CA0202506,1,0,0
CA0202508,1,0,0
CA0202509,3,0,0
CA0202512,1,0,0
CA0202513,1,0,0
CA0202515,1,0,0
CA0202516,1,0,0
CA0202517,1,0,0
CA0202519,1,0,0
CA0202520,1,0,0
CA0202522,1,0,0
CA0202523,1,0,0
CA0202524,1,0,0
CA0202525,1,0,0
CA0202529,1,0,0
CA0202530,1,0,0
CA0310011,0,1,1
CA0202532,1,0,0
CA0202542,1,0,0
CA0202543,1,0,0
CA0310001,0,1,1
CA0202546,1,0,0
CA0202547,2,0,0
CA0202548,1,0,0
CA0202549,2,0,0
CA0202550,1,0,0
CA0202552,1,0,0
CA0202554,1,0,0
CA0202556,1,0,0
CA0202557,1,0,0
CA0202562,1,0,0
CA0202564,1,0,0
CA0202565,1,0,0
CA0202566,1,0,0
CA0202570,1,0,0
CA0202599,1,0,0
CA0205425,1,0,0
CA0210001,0,1,0
CA0210002,4,0,0
CA0210003,1,0,0
CA0210300,0,1,0
CA0300006,1,0,0
CA0300007,1,0,0
CA0300010,0,1,1
CA0300011,0,1,0
CA0300016,2,1,0
CA0300019,1,0,0
CA0510009,3,1,1
CA0300022,1,0,0
CA0300024,1,0,0
CA0300025,1,0,0
CA0300028,1,0,0
CA0300032,1,0,0
CA0300033,1,0,0
CA0300034,1,0,0
CA0300036,1,0,0
CA0300037,0,2,0
CA0300043,1,0,0
CA0300048,1,0,0
CA0300049,1,0,0
CA0300051,2,0,0
CA0300052,1,0,0
CA0300053,1,0,0
CA0300055,1,0,0
CA0300062,1,0,0
CA0300065,1,0,0
CA0300070,2,0,0
CA0300073,0,1,0
CA0300074,2,0,0
CA0300076,1,0,0
CA0300077,1,0,0
CA0300078,1,0,0
CA0300080,2,0,0
CA0300081,1,0,0
CA0300083,1,0,0
CA0300085,2,0,0
CA0300086,1,0,0
CA0300087,1,0,0
CA0300088,1,0,0
CA0510011,0,1,1
CA0300089,1,0,0
CA0300090,1,0,0
CA0300091,1,0,0
CA0300095,1,0,0
CA0300096,1,0,0
CA0300097,1,0,0
CA0300099,1,0,0
CA0300101,1,0,0
CA1000005,0,1,1
CA0300102,1,0,0
CA0300104,1,0,0
CA0300107,1,0,0
CA0300108,1,0,0
CA0300110,1,0,0
CA0300112,1,0,0
CA0300113,1,0,0
CA0300448,1,0,0
CA0300524,1,0,0
CA0300667,2,0,0
CA0301038,0,1,0
CA0310002,0,1,0
CA0310003,0,1,0
CA0310004,2,1,1
CA0310006,3,0,0
CA0310008,3,0,0
CA0310012,0,1,0
CA0310019,2,0,0
CA0310021,4,0,0
CA0310300,1,0,0
CA0310803,1,0,0
CA0310804,1,0,0
CA0400001,2,0,0
CA0400003,1,0,0
CA0400004,1,0,0
CA0400007,3,0,0
CA0400008,2,0,0
CA0400010,1,0,0
CA0400012,1,0,0
CA0400013,4,0,0
CA0400014,3,0,0
CA0400016,4,0,0
CA0400019,1,0,0
CA0400020,2,0,0
CA0400021,1,0,0
CA0400023,1,0,0
CA0400026,1,0,0
CA0400027,2,0,0
CA0400030,2,0,0
CA0400040,1,0,0
CA0400041,1,0,0
CA0400042,1,0,0
CA0400051,2,0,0
CA0400060,2,0,0
CA0400062,1,0,0
CA0400063,1,0,0
CA0400064,1,0,0
CA0400065,1,0,0
CA0400067,1,0,0
CA0400070,3,0,0
CA0400073,1,0,0
CA0400078,1,0,0
CA0400079,1,0,0
CA0400081,2,0,0
CA0400090,1,0,0
CA0400091,1,0,0
CA0400093,1,0,0
CA0400103,1,0,0
CA0400105,1,0,0
CA0400106,1,0,0
CA0400111,1,0,0
CA0400117,1,0,0
CA0400120,1,0,0
CA0400123,1,0,0
CA0400132,1,0,0
CA0400133,2,0,0
CA0400135,1,0,0
CA0400137,1,0,0
CA0400138,2,0,0
CA0400140,1,0,0
CA0400141,1,0,0
CA0400142,1,0,0
CA0400143,1,0,0
CA0400144,2,0,0
CA0400149,1,0,0
CA0400150,1,0,0
CA0400151,2,0,0
CA0400154,2,0,0
CA0400155,1,0,0
CA0400158,1,0,0
CA0400160,1,0,0
CA0400161,1,0,0
CA0400162,1,0,0
CA0400166,1,0,0
CA0400169,1,0,0
CA0405001,2,1,0
CA0405002,1,0,0
CA0405003,1,0,0
CA0409177,2,0,0
CA0409179,1,0,0
CA0409181,2,0,0
CA0409183,2,0,0
CA0409184,1,0,0
CA0409187,1,0,0
CA0409188,1,0,0
CA0409189,1,0,0
CA0409190,1,0,0
CA0409192,1,0,0
CA0409193,1,0,0
CA0409194,1,0,0
CA0409195,1,0,0
CA0409196,1,0,0
CA0409197,1,0,0
CA0410001,3,0,0
CA0410002,55,0,0
CA0410003,3,0,0
CA0410004,7,0,0
CA0410005,2,1,0
CA0410006,0,1,0
CA0410007,1,1,0
CA0410008,4,1,0
CA0410009,2,0,0
CA0410011,4,0,0
CA0410012,0,1,0
CA0410018,0,1,0
CA0500003,4,0,0
CA0500007,1,0,0
