,CWSID,RegulatingAgency,WaterSystemName,Score_DroughtWatchStatus,WaterOutageDroughtViolation,BottledHauledWaterOrZeroSource,CurtailmentExemptionPetition,Score_1704,FundedProject,DroughtExperienced,ServiceConnections,Population,Score_SourceNumber,Score_SCV,Score_SCM,Score_CriticallyOverdraftedGroundwaterBasin,CDAG_rank,Curtailment,Score_1702,Score_1705,Score_1706,Score_1812,Score_1813,Score_1814,Score_1815,EAR2020DroughtRiskScore,SAFER_AccessibilityScore,PWPhysicalAddressLat,PWPhysicalAddressLong,CentralValleyCounties,NonCentralValleyCounties,ActiveGWSource,ActiveSWSource,CurtailedWatershed,HUC4,HUC8_CentralValley,HUC8_Coast,HUC8_Other,Basin_Number_part1,FracturedRock,Basin12,Basin34,Basin5,Basin6,Basin789,Intertie,DSCI2WYAvg,TNCFlow2WYAvg,ind,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2
1,CA0103040,DISTRICT 04 - SAN FRANCISCO,NORRIS CANYON PROPERTY OWNERS ASSN,0,0,0,0,0,0,0,19,50,0,0,0,0,921,0,0,0,0,0,2,1,0,3,0.333333333,37.7370767,-122.0277303,No,ALAMEDA,3,0,NotInCurtailedWatershed,1805,HUC8_Coast,18050004,HUC8_Coast,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,256.6857143,21.21512239,1,0.739,0.261,NotExpected,0.771,0.229,NotExpected,0.79,0.21,NotExpected,0.759,0.241,NotExpected,0.769,0.231,NotExpected
2,CA0103041,DISTRICT 04 - SAN FRANCISCO,TRAILER HAVEN MOBILE HOME PARK,0,0,0,0,0,0,0,191,459,0,0,0,0,2338,0,0,0,0,0,0,0,0,0,0,37.7153422,-122.1473893,No,ALAMEDA,1,0,NotInCurtailedWatershed,1805,HUC8_Coast,18050004,HUC8_Coast,2,0-000,2-009,0-000,0-000,0-000,0-000,1,256.6857143,21.21512239,1,0.95,0.05,NotExpected,0.962,0.038,NotExpected,0.965,0.035,NotExpected,0.961,0.039,NotExpected,0.97,0.03,NotExpected
3,CA0105008,DISTRICT 04 - SAN FRANCISCO,CASTLEWOOD DOMESTIC WATER SYSTEM,0,0,0,0,0,0,0,206,524,0,0,0,0,2105,0,0,0,0,0,1,1,1,3,1,37.6315095,-121.8939705,No,ALAMEDA,0,0,NotInCurtailedWatershed,1805,HUC8_Coast,18050004,HUC8_Coast,2,0-000,2-011,0-000,0-000,0-000,0-000,1,256.6857143,21.21512239,1,0.823,0.177,NotExpected,0.86,0.14,NotExpected,0.841,0.159,NotExpected,0.835,0.165,NotExpected,0.849,0.151,NotExpected
4,CA0110001,DISTRICT 04 - SAN FRANCISCO,ALAMEDA COUNTY WATER DISTRICT,0,0,0,0,0,0,0,86788,351000,0,0,0,0,-1,0,0,0,0,1,1,1,1,4,-1,37.505646,-121.9609087,No,ALAMEDA,24,2,NotInCurtailedWatershed,1805,HUC8_Coast,18050004,HUC8_Coast,FR-2,FR-999,2-009,0-000,0-000,0-000,0-000,1,256.6857143,21.21512239,1,0.706,0.294,NotExpected,0.736,0.264,NotExpected,0.75,0.25,NotExpected,0.78,0.22,NotExpected,0.785,0.215,NotExpected
5,CA0110003,DISTRICT 04 - SAN FRANCISCO,CALIFORNIA WATER SERVICE - LIVERMORE,0,0,0,0,0,0,0,18491,59000,0,0,0,0,-1,0,0,0,0,1,1,0,1,3,0,37.6795223,-121.7736601,No,ALAMEDA,10,0,NotInCurtailedWatershed,1805,HUC8_Coast,18050004,HUC8_Coast,2,0-000,2-010,0-000,0-000,0-000,0-000,1,256.6857143,21.21512239,1,0.894,0.106,NotExpected,0.916,0.084,NotExpected,0.928,0.072,NotExpected,0.922,0.078,NotExpected,0.924,0.076,NotExpected
6,CA0110005,DISTRICT 04 - SAN FRANCISCO,EAST BAY MUD,0,0,0,0,0,0,0,390779,1405000,0,0,0,0,-1,1,0,2,0,0,0,2,1,5,-1,37.8013164,-122.2708386,No,ALAMEDA,0,10,PartialSacSJ,1805,HUC8_Coast,18050004,HUC8_Coast,FR-5,FR-999,0-000,0-000,5-021,0-000,0-000,1,256.6857143,21.21512239,1,0.432,0.568,Expected,0.456,0.544,Expected,0.46,0.54,Expected,0.514,0.486,NotExpected,0.511,0.489,NotExpected
7,CA0110006,DISTRICT 04 - SAN FRANCISCO,CITY OF HAYWARD,0,0,0,0,0,0,0,34756,151600,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,37.6709785,-122.0856974,No,ALAMEDA,5,0,NotInCurtailedWatershed,1805,HUC8_Coast,18050004,HUC8_Coast,2,0-000,2-009,0-000,0-000,0-000,0-000,1,256.6857143,21.21512239,1,0.943,0.057,NotExpected,0.96,0.04,NotExpected,0.972,0.028,NotExpected,0.971,0.029,NotExpected,0.976,0.024,NotExpected
8,CA0110008,DISTRICT 04 - SAN FRANCISCO,CITY OF PLEASANTON,0,0,0,0,0,0,0,22387,79201,0,0,0,0,-1,0,0,0,0,2,2,2,2,8,0,37.6764045,-121.859063,No,ALAMEDA,3,0,NotInCurtailedWatershed,1805,HUC8_Coast,18050004,HUC8_Coast,2,0-000,2-010,0-000,0-000,0-000,0-000,1,256.6857143,21.21512239,2,0.872,0.128,NotExpected,0.888,0.112,NotExpected,0.899,0.101,NotExpected,0.884,0.116,NotExpected,0.875,0.125,NotExpected
9,CA0110009,DISTRICT 04 - SAN FRANCISCO,DUBLIN SAN RAMON SERVICES DISTRICT,0,0,0,0,0,0,0,24550,86895,0.5,0,0,0,-1,0,0,0,0,1,1,1,2,5,0,37.7064525,-121.9207774,No,ALAMEDA,0,0,NotInCurtailedWatershed,1805,HUC8_Coast,18050004,HUC8_Coast,2,0-000,2-010,0-000,0-000,0-000,0-000,1,256.6857143,21.21512239,1,0.866,0.134,NotExpected,0.88,0.12,NotExpected,0.895,0.105,NotExpected,0.881,0.119,NotExpected,0.873,0.127,NotExpected
10,CA0110010,DISTRICT 04 - SAN FRANCISCO,ZONE 7 WATER AGENCY,0,0,0,0,0,0,0,13,40,0,0,0,0,-1,0,0,0,0,1,1,2,2,6,-1,37.7054288,-121.8072818,No,ALAMEDA,10,3,NotInCurtailedWatershed,1805,HUC8_Coast,18050004,HUC8_Coast,FR-2,FR-999,2-010,0-000,0-000,0-000,0-000,0,256.6857143,21.21512239,1,0.703,0.297,NotExpected,0.725,0.275,NotExpected,0.769,0.231,NotExpected,0.773,0.227,NotExpected,0.774,0.226,NotExpected
