PWSID,Water System Name,Groundwater,Surface Water,Purchased,Total,Count of Source Types,Presence of Interties,Number of Interties,Risk Score,Percent Rank (rank of a score as a percentage),Percent In Basin,
CA4700585,JUNCTION ELEMENTARY SCHOOL,1,0,0,1,1,N,None,83.64,98.50%,0.00%,
CA5400558,SAUCELITO ELEMENTARY SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,100.00%,
CA5400795,WAUKENA ELEMENTARY SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,100.00%,
CA1500344,SOUTH KERN MUTUAL WATER COMPANY,1,0,0,1,1,N,None,69.03,86.00%,100.00%,
CA1000627,ZONNEVELD DAIRY - CERINI,1,0,0,1,1,N,None,67.95,84.00%,100.00%,
CA3400149,RANCHO MARINA,1,0,0,1,1,N,None,49.18,34.20%,100.00%,
CA1500289,ATHAL MUTUAL WATER SYSTEM,1,0,0,1,1,N,None,74.69,94.70%,100.00%,
CA1400155,CONTROL GORGE POWER PLANT,1,0,0,1,1,N,None,72.84,92.30%,0.00%,
CA2000612,NORTH FORK ELEMENTARY SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5400994,HOPE ELEMENTARY SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5400964,SIERRA VISTA ASSN,1,0,0,1,1,N,None,68.50,85.10%,100.00%,
CA5000116,ROSELAWN HIGH SCHOOL,1,0,0,1,1,N,None,70.20,88.10%,100.00%,
CA2400122,LONGVIEW MENNONITE SCHOOL,1,0,0,1,1,N,None,62.41,72.00%,100.00%,
CA5000109,CERES UNIFIED/WESTPORT SCHOOL,1,0,0,1,1,N,None,84.41,98.70%,100.00%,
CA1000316,KINGS CANYON HIGH SCHOOL,1,0,0,1,1,N,None,73.97,94.10%,100.00%,
CA5400682,PLAINVIEW MWC - CENTRAL WATER,1,0,0,1,1,N,None,80.81,97.70%,100.00%,
CA3901169,MUSD-NILE GARDEN SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,100.00%,
CA1502154,LAKESIDE SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,100.00%,
CA5400544,ALLENSWORTH CSD,2,0,0,2,1,N,None,57.81,59.50%,100.00%,
CA5000295,SHILOH SCHOOL DISTRICT,1,0,0,1,1,N,None,51.69,41.50%,100.00%,
CA5700623,DAVIS JUSD - FAIRFIELD SCHOOL,1,0,0,1,1,N,None,62.52,72.40%,100.00%,
CA4400613,LAS COLINAS ROAD & WATER ASSN,1,0,0,1,1,N,None,55.61,53.20%,100.00%,
CA1000019,FCSA #30/EL PORVENIR,0,1,0,1,1,N,None,66.03,79.60%,100.00%,
CA1500378,MAHER MUTUAL WATER COMPANY,1,0,0,1,1,N,None,68.35,84.90%,100.00%,
CA1000299,THREE PALMS MOBILEHOME PARK,1,0,0,1,1,N,None,58.00,60.20%,100.00%,
CA2800039,CALISTOGA FARM WORKER CENTER,1,0,0,1,1,N,None,60.71,67.70%,100.00%,
CA5400636,OROSI HIGH SCHOOL,1,0,0,1,1,N,None,69.09,86.10%,100.00%,
CA2000534,LEISURE ACRES MUTUAL WATER COMPANY,2,0,0,2,1,N,None,59.70,64.90%,0.00%,
CA4210009,CUYAMA COMMUNITY SERVICES DISTRICT,1,0,0,1,1,N,None,69.96,87.60%,100.00%,
CA4200833,BONITA SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA4300610,ANCHORPOINT CHRISTIAN SCHOOL,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5400711,SIERRA VIEW JR ACADEMY,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA5800851,FEATHER RIVER MANOR,1,0,0,1,1,N,None,72.15,91.00%,100.00%,
CA1502229,RIO BRAVO GREELEY SCHOOL WATER SYSTEM,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA1502699,EAST WILSON ROAD WATER COMPANY,1,0,0,1,1,N,None,69.73,87.10%,100.00%,
CA1000199,FOWLER CARE CENTER,1,0,0,1,1,N,None,58.45,61.60%,100.00%,
CA1200522,WHITETHORN ELEMENTARY SCHOOL,0,1,0,1,1,N,None,83.99,98.60%,0.00%,
CA3901217,HAYNES BOARD & CARE HOME,1,0,0,1,1,N,None,63.83,75.20%,100.00%,
CA5000273,GRATTON SCHOOL,1,0,0,1,1,N,None,67.04,81.50%,100.00%,
CA1000204,AMERICAN UNION SCHOOL,1,0,0,1,1,N,None,66.51,80.30%,100.00%,
CA2400065,PLAINSBURG ELEMENTARY SCHOOL,1,0,0,1,1,N,None,85.46,98.90%,100.00%,
CA1000187,INDIANOLA SCHOOL,1,0,0,1,1,N,None,66.27,80.00%,100.00%,
CA5000249,STANISLAUS UNION SCHOOL DIST,1,0,0,1,1,N,None,64.90,77.20%,100.00%,
CA5000274,PARADISE SCHOOL,1,0,0,1,1,N,None,72.73,92.00%,100.00%,
CA1000206,HOUGHTON-KEARNEY SCHOOL,1,0,0,1,1,N,None,66.18,79.90%,100.00%,
CA3600391,HILLCREST MOBILE ESTATES,1,0,0,1,1,N,None,80.96,97.70%,100.00%,
CA2000561,MD 08 NORTH FORK WATER SYSTEM,1,0,0,1,1,N,None,81.22,97.80%,0.00%,
CA2700771,SPRINGFIELD WATER COMPANY,1,0,0,1,1,N,None,74.91,94.80%,100.00%,
CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,1,0,0,1,1,N,None,56.68,56.30%,100.00%,
CA1500494,WILSON ROAD WATER COMMUNITY,1,0,0,1,1,N,None,56.43,55.10%,100.00%,
CA1503526,WINI MUTUAL WATER COMPANY,1,0,0,1,1,N,None,72.36,91.40%,100.00%,
CA1500393,RAINBIRD VALLEY MUTUAL WATER COMPANY,2,0,0,2,1,N,None,73.87,93.90%,0.00%,
CA1500571,"LUCKY 18 ON ROSAMOND, LLC",1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,0.00%,
CA1502068,DI GIORGIO SCHOOL WATER SYSTEM,1,0,0,1,1,N,None,DWR Not Assessed,DWR Not Assessed,100.00%,
CA5000019,RIVERDALE PARK TRACT CSD,1,0,0,1,1,N,None,62.09,71.10%,100.00%,
CA5400666,DEL ORO GRANDVIEW GARDENS DISTRICT,1,0,0,1,1,N,None,47.88,30.70%,100.00%,
CA2600622,SIERRA EAST HOA,2,0,0,2,1,N,None,60.81,67.90%,0.00%,
CA1000238,CAMDEN TRAILER PARK,1,0,0,1,1,N,None,76.73,96.00%,100.00%,
CA5400641,TEVISTON CSD,1,0,0,1,1,N,None,78.34,96.90%,100.00%,
