PWSID,Water System Name,Total Number of Water Sources ,Absence of Interties,Source Capacity Violations Count,Service Connection Moratoriums Count,Division of Financial Assistance - Interim Solution Data Spreadsheet,Division of Drinking Water - Drought Report,"SDWIS -
Hauled Water Data",Risk Score,"Percent Rank
(rank of a score as a percentage)",Percentage of sources within a COD Basin
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,3,Y,0,0,N,N,N,58.30,61.20%,0.00%
CA0103041,TRAILER HAVEN MOBILE HOME PARK,2,N,0,0,N,N,N,18.03,1.30%,0.00%
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,1,N,0,0,N,N,N,38.00,11.30%,0.00%
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,12,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA0110008,CITY OF PLEASANTON,4,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,2,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA0110011,CITY OF LIVERMORE,3,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA0110012,TOWN OF SUNOL - SFPUC,1,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA0110016,ALAMEDA POINT,1,N,0,0,N,N,N,49.69,36.00%,No Active Groundwater Wells
CA0202503,WOODFORDS MUTUAL WATER COMPANY,2,Y,0,0,N,N,N,50.00,37.00%,50.00%
CA0202504,MARKLEEVILLE WATER CO.,3,Y,0,0,N,N,N,69.56,87.00%,0.00%
CA0202522,SIERRA PINES MOBILE HOME PARK,1,Y,0,0,N,N,N,64.10,76.00%,0.00%
CA0210001,LAKE ALPINE WATER COMPANY,1,Y,0,0,N,N,N,55.09,51.50%,No Active Groundwater Wells
CA0210002,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,4,Y,0,0,N,N,N,45.62,25.80%,0.00%
CA0300010,DRYTOWN COUNTY WATER DISTRICT,1,N,0,0,N,N,N,40.57,16.30%,No Active Groundwater Wells
CA0300011,SUTTER PINES MHP,1,Y,0,0,N,N,N,59.71,65.00%,0.00%
CA0300016,VOLCANO COMMUNITY SERVICE DIST,3,Y,0,0,N,N,N,53.92,48.50%,0.00%
CA0300019,FIDDLETOWN COMMUNITY SERVICE,1,Y,0,0,N,N,N,59.88,65.50%,0.00%
CA0300024,TABEAU MOBILE HOME PARK,1,Y,0,0,N,N,N,70.05,88.10%,0.00%
CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,2,Y,0,0,N,N,N,53.09,46.20%,No Active Groundwater Wells
CA0300053,RANCHO DEL ORO,1,Y,0,0,N,N,N,69.36,86.70%,0.00%
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,1,Y,0,0,N,N,N,64.93,77.40%,0.00%
CA0300078,IONE BAND OF MIWOK INDIANS,1,Y,0,0,N,N,N,73.60,93.60%,0.00%
CA0310001,CITY OF JACKSON,1,N,0,0,N,N,N,45.39,25.30%,No Active Groundwater Wells
CA0310002,"AWA, IONE",1,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA0310004,"PLYMOUTH, CITY OF",3,N,0,0,N,N,N,20.78,2.00%,0.00%
CA0310005,PINE GROVE COMM SERV DIST,1,N,0,0,N,N,N,44.57,23.90%,No Active Groundwater Wells
CA0310006,RIVER PINES PUD,3,Y,0,0,N,N,N,45.71,25.90%,0.00%
CA0310008,CAMANCHE NORTH SHORE INC.,3,Y,0,0,N,N,N,50.76,39.10%,0.00%
CA0310011,FIRST MACE MEADOW # 1,1,N,0,0,N,N,N,47.93,31.00%,No Active Groundwater Wells
CA0310018,FIRST MACE MEADOWS UNIT NO. 2,1,N,0,0,N,N,N,46.54,27.80%,No Active Groundwater Wells
CA0310019,AWA LA MEL HEIGHTS #3,2,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA0310021,AWA - CAMANCHE VILLAGE,4,Y,0,0,N,N,N,37.23,10.30%,0.00%
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,2,Y,0,0,N,N,N,68.59,85.40%,0.00%
CA0400003,HARTLEY MUTUAL WATER SYSTEM,1,Y,0,0,N,N,N,60.14,66.30%,0.00%
CA0400004,FOREST RANCH MUTUAL WATER SYSTEM,1,Y,0,0,N,N,N,73.69,93.80%,0.00%
CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,3,Y,0,0,N,N,N,47.22,29.60%,0.00%
CA0400008,GRAN MUTUAL WATER CO,2,Y,0,0,N,N,N,50.65,38.80%,0.00%
CA0400012,FARM LABOR HOUSING,1,Y,0,0,Y,N,N,63.31,74.00%,0.00%
CA0400013,MERRY MOUNTAIN MUTUAL,4,Y,0,0,N,N,N,59.43,64.20%,0.00%
CA0400014,LAKE MADRONE WATER DISTRICT,3,Y,0,0,N,N,N,68.34,85.00%,0.00%
CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,4,Y,0,0,N,N,N,51.07,40.10%,0.00%
CA0400019,OROVILLE MOBILE HOME PARK,1,Y,0,0,N,N,N,67.31,82.20%,0.00%
CA0400020,PLEASANT GROVE MHP,2,Y,0,0,N,N,N,49.60,35.70%,0.00%
CA0400021,ROBINSON'S CORNER MHP,1,Y,0,0,N,N,N,65.28,78.00%,0.00%
CA0400023,GOLDEN OAKS MOBILE ESTATES,1,Y,0,0,N,N,N,60.74,68.00%,0.00%
CA0400026,MEADOWBROOK OAKS,1,Y,0,0,N,N,N,72.12,91.00%,0.00%
CA0400027,FOOTHILL SOLAR COMPANY,1,Y,0,0,N,N,N,60.24,66.60%,0.00%
CA0400030,GOLDEN FEATHER MHP,2,Y,0,0,N,N,N,50.41,38.20%,0.00%
CA0400036,MOUNTAIN VIEW MHC LLC,#N/A,Y,0,0,N,N,N,56.50,55.80%,0.00%
CA0400040,ALMOND GROVE MOBILE PARK,1,Y,0,0,N,N,N,72.83,92.30%,0.00%
CA0400041,FOREST RANCH MOBILE PARK,1,Y,0,0,N,N,N,69.32,86.60%,0.00%
CA0400042,FOREST VILLAGE LLC,1,Y,0,0,N,N,N,70.62,89.00%,0.00%
CA0400051,DINGERVILLE USA PARK,2,Y,0,0,N,N,N,52.50,44.10%,0.00%
CA0400078,FOREST KNOLLS MUTUAL WATER CO,1,Y,0,0,N,N,N,70.03,88.00%,0.00%
CA0400081,FEATHER RIDGE ESTATES WATER CO,2,Y,0,0,N,N,N,74.68,94.60%,0.00%
CA0400090,MOUNTAIN VILLAGE HOMEOWNER'S ASSOC,1,Y,0,0,N,N,N,60.18,66.40%,0.00%
CA0400091,DEL ORO WATER COMPANY - BUZZTAIL DIST.,1,Y,0,0,N,N,N,57.19,58.10%,0.00%
CA0400123,HUMBOLDT HIGHLANDS MUTUAL,1,Y,0,0,N,N,N,60.50,67.40%,0.00%
CA0400149,HUMBOLDT WOODLANDS MUTUAL,1,Y,0,0,N,N,N,66.13,79.90%,0.00%
CA0400151,KEEFER CREEK ESTATES,2,Y,0,0,N,N,N,49.21,34.40%,0.00%
CA0400155,BIGGERS GLEN MUTUAL WATER CO,1,Y,0,0,N,N,N,68.59,85.40%,0.00%
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,3,Y,0,0,N,N,N,28.74,4.80%,0.00%
CA0409181,BLUE OAK TERRACE MUTUAL,2,Y,0,0,N,N,N,64.07,75.80%,0.00%
CA0409183,SIERRA MOON WATER COMPANY,2,Y,0,0,N,N,N,50.66,38.90%,0.00%
CA0410001,CITY OF BIGGS,3,Y,0,0,N,N,N,42.62,20.20%,0.00%
CA0410003,DURHAM IRRIGATION DISTRICT,3,Y,0,0,N,N,N,37.66,10.90%,0.00%
CA0410004,CITY OF GRIDLEY,7,Y,0,0,N,N,N,42.49,20.00%,0.00%
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,3,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA0410006,SFWP-MINERS RANCH,1,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA0410007,PARADISE IRRIGATION DISTRICT,2,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA0410008,THERMALITO WATER & SEWER DIST,5,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA0410009,DEL ORO WATER CO.-MAGALIA,2,Y,0,0,N,N,N,48.80,33.10%,0.00%
CA0410011,DEL ORO WATER CO.-PARADISE PINES,4,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA0410012,SFWP-BANGOR,1,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,1,Y,0,0,N,N,N,55.35,52.30%,No Active Groundwater Wells
CA0500019,MINERAL MOUNTAIN MUTUAL WATER,5,Y,0,0,N,N,N,54.00,48.70%,0.00%
CA0500027,LILI VALLEY WATER CO.,2,Y,0,0,N,N,N,53.85,48.30%,0.00%
CA0500068,DUNROVIN MOBILE HOME VILLAGE,2,Y,0,0,N,N,N,64.76,77.20%,0.00%
CA0500075,LAKESIDE MOBILE ESTATES,1,Y,0,0,N,N,N,75.79,95.40%,0.00%
CA0500091,RITE OF PASSAGE/SIERRA RIDGE,4,Y,0,0,N,N,N,59.76,65.30%,0.00%
CA0510001,UNION PUBLIC UTILITY DISTRICT,1,Y,0,0,N,N,N,55.07,51.50%,No Active Groundwater Wells
CA0510002,CALAVERAS PUD,1,Y,0,0,N,N,N,64.05,75.70%,No Active Groundwater Wells
CA0510003,"ANGELS, CITY OF",1,Y,0,0,N,N,N,73.73,93.80%,No Active Groundwater Wells
CA0510004,CCWD - SHEEP RANCH,1,Y,0,1,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA0510005,CCWD - WEST POINT,2,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA0510006,CCWD - JENNY LIND,1,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA0510009,BLUE LAKE SPRINGS MUT WTR,4,N,0,0,N,N,N,24.62,3.50%,0.00%
CA0510010,VALLEY SPRINGS PUD,2,Y,0,0,N,N,N,40.52,16.20%,100.00%
CA0510011,SNOWSHOE SPRINGS ASSN.,1,N,0,0,N,N,N,46.29,27.30%,No Active Groundwater Wells
CA0510012,CAMANCHE SOUTH SHORE-EBMUD,2,Y,0,0,N,N,N,50.17,37.40%,No Active Groundwater Wells
CA0510017,CCWD - COPPER COVE,1,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA0510019,CCWD - WALLACE,2,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,100.00%
CA0600005,COLUSA CO. SERVICE AREA #2-STONYFORD,1,Y,0,0,N,N,N,41.90,18.70%,0.00%
CA0600008,COLUSA CO. WWD #1 - GRIMES,2,Y,0,0,N,N,N,72.86,92.40%,0.00%
CA0600012,COLUSA CO. SERVICE AREA #1-CENTURY RANCH,4,Y,0,1,N,N,N,28.88,4.90%,0.00%
CA0600013,COLUSA CO. WWD #2 - PRINCETON,2,Y,0,0,N,N,N,49.92,36.70%,0.00%
CA0605011,DEL ORO WC - ARBUCKLE DISTRICT,2,Y,0,0,N,N,N,37.12,10.10%,0.00%
