PWSID,Water System Name,Water System Status,Federal Water System Type,Service Area Type,Service Connections,Population,Violation Type Code,Violation Type,Violation Analyte,Violation Determination Date,Violation Begin Date,Violation End Date
CA0901217,BEAR STATE WATER WORKS,ACTIVE,COMMUNITY,RESIDENTIAL AREA              ,48,100,WW,VIOLATION OF A WATERWORKS STANDARD,CCR §64554 – SRC CAPACITY (CURTAILMENT),1/20/2023,7/7/2022,8/5/2022
CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,ACTIVE,COMMUNITY,RESIDENTIAL AREA              ,624,560,WW,VIOLATION OF A WATERWORKS STANDARD,CCR §64602 – WATER OUTAGE (DROUGHT),7/11/2022,7/11/2022,7/24/2022
CA0910018,EL DORADO ID - OUTINGDALE,ACTIVE,COMMUNITY,RESIDENTIAL AREA              ,191,532,WW,VIOLATION OF A WATERWORKS STANDARD,CCR §64602 – WATER OUTAGE (DROUGHT),7/26/2021,7/26/2021,10/30/2021
CA1500566,SPRING MOUNTAIN MUTUAL WATER COMPANY,ACTIVE,COMMUNITY,RESIDENTIAL AREA              ,13,26,WW,VIOLATION OF A WATERWORKS STANDARD,CCR §64602 – WATER OUTAGE (DROUGHT),3/18/2022,2/4/2022,
CA1900062,LOS ANGELES RESIDENTIAL COMMUNITY FOUNDA,ACTIVE,COMMUNITY,RESIDENTIAL AREA              ,22,184,WW,VIOLATION OF A WATERWORKS STANDARD,CCR §64602 – WATER OUTAGE (DROUGHT),2/11/2022,7/1/2021,
CA1900903,SLEEPY VALLEY WATER COMPANY,ACTIVE,COMMUNITY,RESIDENTIAL AREA              ,58,162,WW,VIOLATION OF A WATERWORKS STANDARD,CCR §64602 – WATER OUTAGE (DROUGHT),2/11/2022,7/1/2021,
CA1900942,ALPINE SPRINGS MOBILE HOME PARK,ACTIVE,COMMUNITY,MOBILE HOME PARK              ,53,175,WW,VIOLATION OF A WATERWORKS STANDARD,CCR §64602 – WATER OUTAGE (DROUGHT),2/11/2022,7/1/2021,
CA1910020,CAL-AM WATER COMPANY - EAST PASADENA,ACTIVE,COMMUNITY,RESIDENTIAL AREA              ,2974,9903,WW,VIOLATION OF A WATERWORKS STANDARD,CCR §64554 – SRC CAPACITY,8/27/2020,7/1/2020,
CA2300634,OCEAN'S EDGE ESTATES,ACTIVE,COMMUNITY,MOBILE HOME PARK              ,71,250,WW,VIOLATION OF A WATERWORKS STANDARD,CCR §64602 – WATER OUTAGE (DROUGHT),9/22/2022,8/24/2022,
CA2300638,WILDWOOD CAMPGROUND,ACTIVE,COMMUNITY,RECREATION AREA               ,50,150,WW,VIOLATION OF A WATERWORKS STANDARD,CCR §64602 – WATER OUTAGE (DROUGHT),3/7/2022,4/22/2021,
