REGULATING_AGENCY,water system id,water system name,Violation ID,Violation Type,Violation Name,Analyte Code,Analyte Name,Determination Date,Begin Date,End Date,Enforcement Action ID,Enforcement Action,Enforcement Action Code,ENFORCEMENT ACTION STATUS DATE
DISTRICT 09 - SACRAMENTO,CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,809003,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),7/11/22 0:00,2022-07-11,2022-07-24,809003,ST VIOLATION/REMINDER NOTICE,SIA,7/11/22 0:00
DISTRICT 09 - SACRAMENTO,CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,809003,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),7/11/22 0:00,2022-07-11,2022-07-24,809004,ST INTENTIONAL NO-ACTION,SO6,8/10/22 0:00
DISTRICT 19 - TEHACHAPI,CA1500566,SPRING MOUNTAIN MUTUAL WATER COMPANY,18,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),3/18/22 0:00,2022-02-04,,11,ST AO (W/O PENALTY) ISSUED,SFL,4/18/22 0:00
DISTRICT 09 - SACRAMENTO,CA0910018,EL DORADO ID - OUTINGDALE,709006,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),7/26/21 0:00,2021-07-26,2021-10-30,809006,DROUGHT ORDERS,DRT,8/5/21 0:00
LPA49 - LA COUNTY,CA1900062,LOS ANGELES RESIDENTIAL COMMUNITY FOUNDA,1500005,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),2/11/22 0:00,2021-07-01,,,,,
DISTRICT 17 - SANTA CLARA,CA4300716,LUPIN LODGE,9605012,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),7/28/21 0:00,2021-07-01,,9917040,DROUGHT ORDERS,DRT,7/28/21 0:00
LPA49 - LA COUNTY,CA1900903,SLEEPY VALLEY WATER COMPANY,1600007,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),2/11/22 0:00,2021-07-01,,,,,
DISTRICT 17 - SANTA CLARA,CA4300573,GREEN ACRES MUTUAL WATER,9905007,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),8/30/21 0:00,2021-08-01,,9917018,DROUGHT ORDERS,DRT,8/30/21 0:00
LPA49 - LA COUNTY,CA1900942,ALPINE SPRINGS MOBILE HOME PARK,1600009,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),2/11/22 0:00,2021-07-01,,,,,
DISTRICT 03 - MENDOCINO,CA2300634,OCEAN'S EDGE ESTATES,9803005,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),9/22/22 0:00,2022-08-24,,,,,
DISTRICT 03 - MENDOCINO,CA2300638,WILDWOOD CAMPGROUND,9703008,WW,VIOLATION OF A WATERWORKS STANDARD,C279,CCR §64602 – WATER OUTAGE (DROUGHT),3/7/22 0:00,2021-04-22,,9803016,ST AO (W/O PENALTY) ISSUED,SFL,3/7/22 0:00
